Subject,Start date,All Day Event,Description
Velma Scantlebury was born.,10/06/1955,true,https://en.wikipedia.org/wiki/Velma_Scantlebury
Helen Rodríguez Trías died.,12/27/2001,true,https://en.wikipedia.org/wiki/Helen_Rodr%C3%ADguez_Tr%C3%ADas
Fiona Wood was born.,02/02/1958,true,https://en.wikipedia.org/wiki/Fiona_Wood
Milla Baldo-Ceolin was born.,08/12/1924,true,https://en.wikipedia.org/wiki/Milla_Baldo-Ceolin
Milla Baldo-Ceolin died.,11/25/2011,true,https://en.wikipedia.org/wiki/Milla_Baldo-Ceolin
Marietta Blau was born.,04/29/1894,true,https://en.wikipedia.org/wiki/Marietta_Blau
Marietta Blau died.,01/27/1970,true,https://en.wikipedia.org/wiki/Marietta_Blau
Lili Bleeker was born.,01/17/1897,true,https://en.wikipedia.org/wiki/Lili_Bleeker
Lili Bleeker died.,11/08/1985,true,https://en.wikipedia.org/wiki/Lili_Bleeker
Katharine Blodgett died.,10/12/1979,true,https://en.wikipedia.org/wiki/Katharine_Blodgett
Sulamith Goldhaber was born.,11/04/1923,true,https://en.wikipedia.org/wiki/Sulamith_Goldhaber
Sulamith Goldhaber died.,12/11/1965,true,https://en.wikipedia.org/wiki/Sulamith_Goldhaber
Ann Kiessling was born.,03/29/1942,true,https://en.wikipedia.org/wiki/Ann_Kiessling
Doris Kuhlmann-Wilsdorf was born.,02/15/1922,true,https://en.wikipedia.org/wiki/Doris_Kuhlmann-Wilsdorf
Doris Kuhlmann-Wilsdorf died.,03/25/2010,true,https://en.wikipedia.org/wiki/Doris_Kuhlmann-Wilsdorf
Mileva Maric was born.,12/19/1875,true,https://en.wikipedia.org/wiki/Mileva_Maric
Mileva Maric died.,08/04/1948,true,https://en.wikipedia.org/wiki/Mileva_Maric
Nina Vedeneyeva was born.,12/01/1882,true,https://en.wikipedia.org/wiki/Nina_Vedeneyeva
Nina Vedeneyeva died.,12/31/1955,true,https://en.wikipedia.org/wiki/Nina_Vedeneyeva
Afërdita Veveçka Priftaj was born.,01/21/1948,true,https://en.wikipedia.org/wiki/Af%C3%ABrdita_Veve%C3%A7ka_Priftaj
Afërdita Veveçka Priftaj died.,07/04/2017,true,https://en.wikipedia.org/wiki/Af%C3%ABrdita_Veve%C3%A7ka_Priftaj
Xide Xie was born.,03/19/1921,true,https://en.wikipedia.org/wiki/Xide_Xie
Xide Xie died.,03/04/2000,true,https://en.wikipedia.org/wiki/Xide_Xie
Margaret Kennard was born.,09/25/1899,true,https://en.wikipedia.org/wiki/Margaret_Kennard
Margaret Kennard died.,12/12/1975,true,https://en.wikipedia.org/wiki/Margaret_Kennard
Rosalie Rayner was born.,08/25/1898,true,https://en.wikipedia.org/wiki/Rosalie_Rayner
Rosalie Rayner died.,06/18/1935,true,https://en.wikipedia.org/wiki/Rosalie_Rayner
Afërdita Veveçka Priftaj was born.,01/21/1948,true,https://en.wikipedia.org/wiki/Af%C3%ABrdita_Veve%C3%A7ka_Priftaj
Afërdita Veveçka Priftaj died.,07/04/2017,true,https://en.wikipedia.org/wiki/Af%C3%ABrdita_Veve%C3%A7ka_Priftaj
Elisabeth Ruttkay was born.,06/18/1926,true,https://en.wikipedia.org/wiki/Elisabeth_Ruttkay
Elisabeth Ruttkay died.,02/25/2009,true,https://en.wikipedia.org/wiki/Elisabeth_Ruttkay
Velma Scantlebury was born.,10/06/1955,true,https://en.wikipedia.org/wiki/Velma_Scantlebury
Alba Zaluar was born.,06/02/1942,true,https://en.wikipedia.org/wiki/Alba_Zaluar
Isabella Preston was born.,09/04/1881,true,https://en.wikipedia.org/wiki/Isabella_Preston
Isabella Preston died.,01/31/1965,true,https://en.wikipedia.org/wiki/Isabella_Preston
Ana Vásquez-Bronfman was born.,12/18/1931,true,https://en.wikipedia.org/wiki/Ana_V%C3%A1squez-Bronfman
Ana Vásquez-Bronfman died.,11/18/2009,true,https://en.wikipedia.org/wiki/Ana_V%C3%A1squez-Bronfman
Snježana Kordić was born.,10/29/1964,true,https://en.wikipedia.org/wiki/Snje%C5%BEana_Kordi%C4%87
Anne Dejean-Assémat was born.,01/06/1957,true,https://en.wikipedia.org/wiki/Anne_Dejean-Ass%C3%A9mat
Eva-Maria Neher was born.,11/22/1950,true,https://en.wikipedia.org/wiki/Eva-Maria_Neher
Dany Bébel-Gisler was born.,04/07/1935,true,https://en.wikipedia.org/wiki/Dany_B%C3%A9bel-Gisler
Dany Bébel-Gisler died.,09/28/2003,true,https://en.wikipedia.org/wiki/Dany_B%C3%A9bel-Gisler
